"Site.Name","Date","Ametryn","Atrazine","Chlorpyrifos","Diuron","Fipronil","Fluroxypyr","Haloxyfop..acid.","Hexazinone","Imazapic","Imidacloprid","Isoxaflutole.metabolite..DKN.","MCPA","Metolachlor","Metribuzin","Metsulfuron.methyl","Pendimethalin","Prometryn","Simazine","Tebuthiuron","Terbuthylazine","Triclopyr","X2.4.D"
"Sandy Creek at Homebush",2010-01-25 09:10:00,"0.31","1.8",NA,"4.5",NA,NA,NA,"0.9",NA,NA,NA,NA,"0.02",NA,NA,NA,"< 0.01","< 0.01","< 0.01",NA,NA,NA
"Sandy Creek at Homebush",2010-01-25 16:00:00,"0.02","0.2","< 0.1","0.82","< 0.1",NA,"< 0.1","0.26",NA,NA,NA,NA,"0.01","< 0.1",NA,"< 0.1","< 0.01","< 0.01","< 0.01","< 0.1",NA,NA
"Sandy Creek at Homebush",2010-01-26 09:00:00,"0.13","1.2",NA,"3.9",NA,NA,NA,"1.6",NA,NA,NA,NA,"0.05",NA,NA,NA,"< 0.01","< 0.01","< 0.01",NA,NA,NA
"Sandy Creek at Homebush",2010-01-27 08:45:00,"0.1","2.2",NA,"4.7",NA,NA,NA,"1.9",NA,NA,NA,NA,"0.04",NA,NA,NA,"< 0.01","< 0.01","< 0.01",NA,NA,NA
"Sandy Creek at Homebush",2010-01-28 08:45:00,"0.08","2.7",NA,"4.7",NA,NA,NA,"1.8",NA,NA,NA,NA,"0.04",NA,NA,NA,"< 0.01","< 0.01","< 0.01",NA,NA,NA
"Sandy Creek at Homebush",2010-01-29 14:45:00,"0.09","2.4",NA,"3.9",NA,NA,NA,"1.8",NA,NA,NA,NA,"0.02",NA,NA,NA,"< 0.01","0.01","< 0.01",NA,NA,NA
"Sandy Creek at Homebush",2010-01-31 09:15:00,"0.02","0.2","< 0.1","0.91","< 0.1",NA,"< 0.1","0.23",NA,NA,NA,NA,"0.02","< 0.1",NA,"< 0.1","< 0.01","< 0.01","< 0.01","< 0.1",NA,NA
"Sandy Creek at Homebush",2010-02-01 09:40:00,"0.02","0.56",NA,"1.9",NA,NA,NA,"0.54",NA,NA,NA,NA,"0.01",NA,NA,NA,"< 0.01","< 0.01","< 0.01",NA,NA,NA
"Sandy Creek at Homebush",2010-02-02 10:00:00,"0.03","0.57","< 0.1","1.5","< 0.1",NA,"< 0.1","0.47",NA,NA,NA,NA,"0.01","< 0.1",NA,"< 0.1","< 0.01","< 0.01","< 0.01","< 0.1",NA,NA
"Sandy Creek at Homebush",2010-02-10 07:00:00,"< 0.01","0.07","< 0.1","0.44","< 0.1",NA,"< 0.1","0.17",NA,NA,NA,"< 0.1","< 0.01","< 0.1",NA,"< 0.1","< 0.01","< 0.01","< 0.01","< 0.1","< 0.1","0.1"
"Sandy Creek at Homebush",2010-02-10 16:00:00,"0.02","0.19",NA,"0.68",NA,NA,NA,"0.41",NA,NA,NA,NA,"< 0.01",NA,NA,NA,"< 0.01","< 0.01","< 0.01",NA,NA,NA
"Sandy Creek at Homebush",2010-02-11 07:45:00,"0.02","0.24",NA,"0.91",NA,NA,NA,"0.52",NA,NA,NA,NA,"< 0.01",NA,NA,NA,"< 0.01","< 0.01","< 0.01",NA,NA,NA
"Sandy Creek at Homebush",2010-02-12 09:00:00,"0.03","0.19","< 0.1","0.52","< 0.1",NA,"< 0.1","0.35",NA,NA,NA,"0.2","< 0.01","< 0.1",NA,"< 0.1","< 0.01","< 0.01","< 0.01","< 0.1","< 0.1","0.1"
"Sandy Creek at Homebush",2010-02-13 07:45:00,"< 0.01","0.19",NA,"0.51",NA,NA,NA,"0.28",NA,NA,NA,NA,"< 0.01",NA,NA,NA,"< 0.01","< 0.01","< 0.01",NA,NA,NA
